codigo_imovel,referencia,provedor,status_imovel,url_cadastro,pontos_fortes_atuais,data_hora_conferencia
"4353646","1379","cordial","true","https://www.cordialimoveis.com/imovel/4353646","","2026-09-18T04:27:07-03:00"
"4353200","1378","cordial","true","https://www.cordialimoveis.com/imovel/4353200","","2026-09-18T04:27:08-03:00"
"4353185","1377","cordial","true","https://www.cordialimoveis.com/imovel/4353185","","2026-09-18T04:27:09-03:00"
"4351084","1376","cordial","true","https://www.cordialimoveis.com/imovel/4351084","","2026-09-18T04:27:09-03:00"
"4350978","1375","cordial","true","https://www.cordialimoveis.com/imovel/4350978","","2026-09-18T04:27:10-03:00"
"4350953","1374","cordial","true","https://www.cordialimoveis.com/imovel/4350953","","2026-09-18T04:27:11-03:00"
"4350931","1373","cordial","true","https://www.cordialimoveis.com/imovel/4350931","","2026-09-18T04:27:12-03:00"
"4350452","1371","cordial","true","https://www.cordialimoveis.com/imovel/4350452","","2026-09-18T04:27:13-03:00"
"4350021","1370","cordial","true","https://www.cordialimoveis.com/imovel/4350021","","2026-09-18T04:27:13-03:00"
"4349600","1368","cordial","true","https://www.cordialimoveis.com/imovel/4349600","","2026-09-18T04:27:14-03:00"
"4349387","1367","cordial","true","https://www.cordialimoveis.com/imovel/4349387","","2026-09-18T04:27:15-03:00"
"4349372","1366","cordial","true","https://www.cordialimoveis.com/imovel/4349372","","2026-09-18T04:27:16-03:00"
"4349347","1365","cordial","true","https://www.cordialimoveis.com/imovel/4349347","","2026-09-18T04:27:17-03:00"
"4349308","1364","cordial","true","https://www.cordialimoveis.com/imovel/4349308","","2026-09-18T04:27:17-03:00"
"4349284","1363","cordial","true","https://www.cordialimoveis.com/imovel/4349284","","2026-09-18T04:28:02-03:00"
"4347995","1362","cordial","true","https://www.cordialimoveis.com/imovel/4347995","","2026-09-18T04:28:03-03:00"
"4346227","1361","cordial","true","https://www.cordialimoveis.com/imovel/4346227","","2026-09-18T04:28:04-03:00"
"4345775","1359","cordial","true","https://www.cordialimoveis.com/imovel/4345775","","2026-09-18T04:28:06-03:00"
"4345603","1355","cordial","true","https://www.cordialimoveis.com/imovel/4345603","Consulte a equipe da imobiliÃ¡ria para confirmaÃ§Ã£o dos dados e disponibilidade atualizada.","2026-09-18T04:28:07-03:00"
"4345436","1358","cordial","true","https://www.cordialimoveis.com/imovel/4345436","fazer proposta","2026-09-18T04:28:08-03:00"
"4345434","1357","cordial","true","https://www.cordialimoveis.com/imovel/4345434","","2026-09-18T04:28:08-03:00"
"4344874","1354","cordial","true","https://www.cordialimoveis.com/imovel/4344874","","2026-09-18T04:28:09-03:00"
"4344726","1353","cordial","true","https://www.cordialimoveis.com/imovel/4344726","","2026-09-18T04:28:10-03:00"
"4342153","1352","cordial","true","https://www.cordialimoveis.com/imovel/4342153","","2026-09-18T04:28:11-03:00"
"4341942","1351","cordial","true","https://www.cordialimoveis.com/imovel/4341942","","2026-09-18T04:28:12-03:00"
"4341734","1350","cordial","true","https://www.cordialimoveis.com/imovel/4341734","","2026-09-18T04:28:12-03:00"
"4340607","1349","cordial","true","https://www.cordialimoveis.com/imovel/4340607","&#9888;&#65039; As informaÃ§Ãµes, caracterÃ­sticas, valores e disponibilidade do imÃ³vel poderÃ£o sofrer alteraÃ§Ãµes sem aviso prÃ©vio.<br /><br />E Consulte a equipe da imobiliÃ¡ria para confirmaÃ§Ã£o dos dados e disponibilidade atualizada.","2026-09-18T04:28:13-03:00"
"4340018","1347","cordial","true","https://www.cordialimoveis.com/imovel/4340018","","2026-09-18T04:28:14-03:00"
"4339817","1346","cordial","true","https://www.cordialimoveis.com/imovel/4339817","","2026-09-18T04:28:15-03:00"
"4339766","1344","cordial","true","https://www.cordialimoveis.com/imovel/4339766","Consulte a equipe da imobiliÃ¡ria para confirmaÃ§Ã£o dos dados e disponibilidade atualizada.","2026-09-18T04:28:16-03:00"
"4339343","1345","cordial","true","https://www.cordialimoveis.com/imovel/4339343","","2026-09-18T04:28:16-03:00"
"4338876","1343","cordial","true","https://www.cordialimoveis.com/imovel/4338876","","2026-09-18T04:28:17-03:00"
"4338736","1342","cordial","true","https://www.cordialimoveis.com/imovel/4338736","","2026-09-18T04:28:18-03:00"
"4337533","1340","cordial","true","https://www.cordialimoveis.com/imovel/4337533","","2026-09-18T04:28:19-03:00"
"4332939","1339","cordial","true","https://www.cordialimoveis.com/imovel/4332939","Consulte a equipe da imobili&aacute;ria para confirma&ccedil;&atilde;o dos dados e disponibilidade atualizada.","2026-09-18T04:29:04-03:00"
"4332594","1338","cordial","true","https://www.cordialimoveis.com/imovel/4332594","comissÃ£o de 6%<br /> falta averbar a garagem<br /> Ag: Felipe/GeandrÃ©","2026-09-18T04:29:05-03:00"
"4332000","1337","cordial","true","https://www.cordialimoveis.com/imovel/4332000","agenciamento geandrÃ©, chave fica no vizinho da frente guilherme","2026-09-18T04:29:05-03:00"
"4331271","1336","cordial","true","https://www.cordialimoveis.com/imovel/4331271","agenciamento geandre, ao lado da papiÃ£o","2026-09-18T04:29:08-03:00"
"4331169","1335","cordial","true","https://www.cordialimoveis.com/imovel/4331169","","2026-09-18T04:29:08-03:00"
"4330469","1334","cordial","true","https://www.cordialimoveis.com/imovel/4330469","AGENCIAMENTO GEANDRE 6% ACEITA CASA NA CIDADE","2026-09-18T04:29:09-03:00"
"4330304","1333","cordial","true","https://www.cordialimoveis.com/imovel/4330304","Consulte a equipe da imobiliÃ¡ria para confirmaÃ§Ã£o dos dados e disponibilidade atualizada.<br /><br />ComisÃ£o de 6%<br /> Ag: Felipe Fleck","2026-09-18T04:29:10-03:00"
"4329850","1332","cordial","true","https://www.cordialimoveis.com/imovel/4329850","comissÃ£o 6% agenciamento geandre","2026-09-18T04:29:11-03:00"
"4329604","1331","cordial","true","https://www.cordialimoveis.com/imovel/4329604","comissÃ£o 6% GeandrÃ©, aceita propostas, casa ap terreno... quer por para o brique","2026-09-18T04:29:11-03:00"
"4327945","1330","cordial","true","https://www.cordialimoveis.com/imovel/4327945","agenciamento geandrÃ©","2026-09-18T04:29:12-03:00"
"4327931","1329","cordial","true","https://www.cordialimoveis.com/imovel/4327931","agenciamento geandre","2026-09-18T04:29:13-03:00"
"4327918","1328","cordial","true","https://www.cordialimoveis.com/imovel/4327918","agenciamento GeandrÃ© 6%","2026-09-18T04:29:14-03:00"
"4327167","1327","cordial","true","https://www.cordialimoveis.com/imovel/4327167","agenciamwnto geandre","2026-09-18T04:29:15-03:00"
"4324645","1324","cordial","true","https://www.cordialimoveis.com/imovel/4324645","ag Ricardo","2026-09-18T04:29:16-03:00"
"4324574","1323","cordial","true","https://www.cordialimoveis.com/imovel/4324574","&#9888;&#65039; As informaÃ§Ãµes, caracterÃ­sticas, valores e disponibilidade do imÃ³vel poderÃ£o sofrer alteraÃ§Ãµes sem aviso prÃ©vio. Consulte a equipe da imobiliÃ¡ria para confirmaÃ§Ã£o dos dados e disponibilidade atualizada.<br /><br />ag Ricardo","2026-09-18T04:29:16-03:00"
"4323831","1322","cordial","true","https://www.cordialimoveis.com/imovel/4323831","agenciamento 6% geandrÃ©","2026-09-18T04:29:17-03:00"
"4323809","1321","cordial","true","https://www.cordialimoveis.com/imovel/4323809","agenciamento Geandre 6%","2026-09-18T04:29:18-03:00"
"4323697","1318","cordial","true","https://www.cordialimoveis.com/imovel/4323697","atualizada.","2026-09-18T04:29:19-03:00"
"4320878","1317","cordial","true","https://www.cordialimoveis.com/imovel/4320878","Ag Bruna<br /> ComissÃ£o 20 mil","2026-09-18T04:29:20-03:00"
"4320378","1316","cordial","true","https://www.cordialimoveis.com/imovel/4320378","comissÃ£o de 6%<br /> Ag: Felipe/Geandre","2026-09-18T04:29:20-03:00"
"4319728","1315","cordial","true","https://www.cordialimoveis.com/imovel/4319728","comissÃ£o 6%, negocia valores, aceita carro, terreno.. nÃ£o deixar de fazer proposta<br /> alugada pela imobiliÃ¡ria santa rosa, avisar eles para marcar","2026-09-18T04:30:05-03:00"
"4318854","1314","cordial","true","https://www.cordialimoveis.com/imovel/4318854","comissÃ£o 6% GeandrÃ©","2026-09-18T04:30:06-03:00"
"4318828","1313","cordial","true","https://www.cordialimoveis.com/imovel/4318828","","2026-09-18T04:30:07-03:00"
"4318760","1311","cordial","true","https://www.cordialimoveis.com/imovel/4318760","agenciamento geandrÃ© 6%","2026-09-18T04:30:08-03:00"
"4318743","1312","cordial","true","https://www.cordialimoveis.com/imovel/4318743","","2026-09-18T04:30:09-03:00"
"4318557","1310","cordial","true","https://www.cordialimoveis.com/imovel/4318557","agenciamento geandre, ele recebeu por 1.900.000,00 mas sabe que nÃ£o vale, entÃ£o avalia qualquer proposta","2026-09-18T04:30:11-03:00"
"4317629","1305","cordial","true","https://www.cordialimoveis.com/imovel/4317629","","2026-09-18T04:30:12-03:00"
"4313500","1304","cordial","true","https://www.cordialimoveis.com/imovel/4313500","Agenciamento GeandrÃ©","2026-09-18T04:30:13-03:00"
"4313392","1303","cordial","true","https://www.cordialimoveis.com/imovel/4313392","comissÃ£o 6% GeandrÃ©","2026-09-18T04:30:13-03:00"
